id,x,y
533,121,728
534,138,728
535,121,732
536,70,734
537,151,734
538,70,746
539,121,739
540,151,746
541,58,738
542,153,742
543,121,744
544,138,748
545,154,749
546,121,750
547,138,751
548,121,755
549,138,754
550,154,754
551,151,758
552,70,758
553,70,760
554,70,764
555,151,764
556,121,764
557,138,764
558,154,764
559,70,766
560,70,771
561,151,813
562,121,770
563,138,770
564,154,770
565,154,777
566,70,776
567,121,776
568,138,777
569,70,779
570,121,781
571,70,782
572,138,782
573,70,786
574,138,798
575,156,799
576,121,796
577,70,792
578,70,797
579,70,801
580,145,800
581,170,800
582,145,802
583,70,808
584,138,824
585,155,823
586,70,814
587,70,816
588,70,819
589,70,828
590,121,826
591,121,840
592,70,836
593,70,840
594,70,854
595,138,844
596,153,844
597,138,851
598,154,851
599,121,854
600,138,858
601,154,859
602,138,878
603,156,940
604,121,876
605,70,874
606,170,867
607,58,871
608,170,872
609,58,873
610,170,874
611,58,876
612,88,877
613,170,880
614,145,881
615,166,881
616,70,885
617,70,887
618,170,887
619,70,889
620,121,896
621,70,891
622,138,890
623,70,893
624,138,893
625,170,893
626,70,897
627,138,896
628,70,902
629,170,903
630,70,908
631,145,907
632,170,907
633,121,908
634,145,909
635,70,911
636,145,911
637,170,913
638,70,914
639,145,914
640,70,918
641,121,928
642,170,920
643,70,921
644,145,920
645,170,922
646,70,926
647,170,926
648,70,930
649,170,929
650,145,930
651,70,935
652,145,932
653,170,933
654,145,936
655,170,936
656,70,940
657,121,940
658,70,944
659,121,956
660,70,952
661,145,948
662,88,950
663,170,952
664,88,956
665,144,955
666,170,955
667,170,958
668,70,960
669,88,959
670,70,962
671,70,965
672,121,978
673,145,968
674,170,968
675,70,970
676,70,972
677,88,974
678,70,976
679,88,979
680,170,978
681,70,982
682,170,982
683,70,986
684,70,991
685,121,992
686,170,992
687,121,999
688,145,996
689,139,1004
690,121,1010
691,132,1012
692,138,1012
693,154,1012
694,132,1016
695,138,1016
696,154,1016
697,132,1020
698,138,1023
699,154,1020
700,154,1022
701,132,1024
702,154,1025
703,157,1024
704,132,1027
705,138,1029
706,138,1041
707,155,1034
708,151,1032
709,132,1034
710,145,1035
711,151,1036
712,155,1038
713,132,1038
714,151,1045
715,155,1044
716,132,1044
717,151,1052
718,154,1053
719,151,1059
720,151,1061
721,138,1075
722,151,1076
723,155,1075
724,138,1081
725,151,1081
726,154,1081
727,121,1093
728,138,1102
729,121,1104
730,132,1104
731,151,1104
732,138,1106
733,121,1106
